2|1,40
3|65535,99
10|1,14
13|5,11
18|1,39
20|65535,99
27|7,27
70|65535,99
71|1,1
100|7,5
103|65535,99
104|128,68
108|2,42
158|1,45
170|1,28
173|1,38
185|8,17
188|11,8
199|65535,99
212|96,35
214|10,38
228|112,44
245|151,24
259|3,13
265|4,11
269|32,35
277|160,57
358|1,29
369|65535,99
371|65535,99
403|7,38
404|65535,99
413|6,34
427|3,16
436|3,21
456|1,4
459|13,4
506|10,10
512|4,25
513|65535,99
514|4,34
560|11,62
620|65535,99
647|65535,99
648|1,12
720|9,3
746|6,1
759|2,6
809|13,11
840|1,37
841|65535,99
842|48,35
846|7,6
879|128,4
889|8,3
895|240,26
899|128,25
943|6,6
954|9,13
996|2,1
1074|2,29
1076|65535,99
1082|65535,99
1159|1,63
1203|9,62
1208|65535,99
1209|7,20
1211|65535,99
1263|65535,99
1266|1,5
1388|144,68
1400|12,11
1409|7,29
1449|4,16
1486|65535,99
1487|32,59
1500|7,40
1515|3,29
1561|2,36
1582|65535,99
1615|1,57
1617|65535,99
1628|65535,99
1634|10,34
1636|8,40
1690|14,21
1705|176,37
1742|1,56
1749|14,60
1773|144,63
1822|6,2
1830|80,15
1850|3,14
1874|1,26
1915|6,24
1919|65535,99
1940|1,36
2118|14,23
2119|65535,99
2158|2,45
2227|65535,99
2243|8,13
2249|7,21
2335|1,30
2338|144,58
2353|128,24
2360|15,42
2372|7,23
2462|65535,99
2480|65535,99
2481|176,10
2491|2,34
2492|6,21
2590|10,4
2622|14,3
2661|65535,99
2731|13,42
2761|13,24
2764|3,22
2770|12,42
2778|1,16
2847|6,3
2862|9,38
2878|65535,99
2892|12,16
2919|65535,99
2927|2,3
2989|4,50
2997|65535,99
3045|5,3
3057|96,3
3068|4,3
3123|65535,99
3138|5,37
3143|2,27
3150|4,12
3188|8,37
3214|4,1
3269|3,3
3284|80,33
3302|65535,99
3305|11,21
3308|8,2
3353|5,4
3389|3,37
3395|2,46
3423|2,58
3489|6,8
3496|4,32
3500|14,40
3510|65535,99
3525|48,67
3545|15,17
3556|4,22
3637|8,62
3658|64,20
3723|192,37
3726|2,18
3802|65535,99
3806|6,29
3815|112,53
3826|6,37
3875|3,27
3891|12,22
3918|2,10
3927|5,58
3951|6,10
3955|112,4
3969|2,7
3978|16,59
3984|3,20
4042|4,60
4043|65535,99
4067|4,5
4091|2,30
4115|12,8
4126|80,45
4133|7,3
4173|1,54
4174|3,9
4178|8,34
4179|5,42
4182|80,7
4198|160,6
4234|7,8
4239|7,34
4243|10,2
4262|2,57
4268|65535,99
4295|7,28
4373|5,29
4414|12,21
4438|80,9
4457|2,64
4525|9,21
4547|7,60
4588|2,25
4627|7,13
4630|65535,99
4687|1,35
4699|174,34
4754|1,55
4774|4,8
4811|6,38
4823|12,18
4824|4,13
4917|9,4
4939|6,27
4946|7,39
4970|15,3
4990|3,6
5012|1,58
5042|13,41
5070|8,10
5071|3,4
5079|32,48
5107|8,46
5142|240,2
5144|5,27
5332|7,22
5428|11,22
5441|6,20
5473|5,23
5526|9,23
5548|48,66
5560|1,3
5586|5,2
5592|8,60
5605|1,67
5639|9,39
5652|3,1
5678|32,11
5688|5,16
5703|12,29
5737|14,8
5767|14,22
5806|160,43
5814|1,66
5875|2,15
5886|9,37
5890|64,47
5908|15,4
5910|5,39
5945|12,26
5948|1,32
5968|6,42
5972|48,59
6019|9,40
6020|128,54
6050|4,9
6064|2,26
6104|144,40
6112|144,1
6126|6,32
6185|8,16
6204|6,11
6263|12,60
6289|10,3
6350|3,39
6357|10,16
6361|4,38
6442|1,31
6452|7,2
6539|3,42
6610|1,33
6638|9,22
6646|3,25
6663|1,9
6690|3,23
6703|128,63
